,Label,Region
0,1,Left_VisCent_ExStr_1
1,2,Left_VisCent_ExStr_2
2,3,Left_VisCent_ExStr_3
3,4,Left_VisCent_ExStr_4
4,5,Left_VisCent_ExStr_5
5,6,Left_VisCent_ExStr_6
6,7,Left_VisCent_ExStr_7
7,8,Left_VisCent_ExStr_8
8,9,Left_VisCent_ExStr_9
9,10,Left_VisCent_ExStr_10
10,11,Left_VisCent_ExStr_11
11,12,Left_VisCent_ExStr_12
12,13,Left_VisPeri_ExStrSup_1
13,14,Left_VisPeri_ExStrSup_2
14,15,Left_VisPeri_ExStrSup_3
15,16,Left_VisPeri_ExStrSup_4
16,17,Left_VisPeri_ExStrSup_5
17,18,Left_VisPeri_ExStrSup_6
18,19,Left_VisPeri_ExStrSup_7
19,20,Left_VisPeri_ExStrSup_8
20,21,Left_VisPeri_ExStrSup_9
21,22,Left_VisPeri_ExStrSup_10
22,23,Left_VisPeri_ExStrSup_11
23,24,Left_VisPeri_ExStrSup_12
24,25,Left_SomMotA_1
25,26,Left_SomMotA_2
26,27,Left_SomMotA_3
27,28,Left_SomMotA_4
28,29,Left_SomMotA_5
29,30,Left_SomMotA_6
30,31,Left_SomMotA_7
31,32,Left_SomMotA_8
32,33,Left_SomMotA_9
33,34,Left_SomMotA_10
34,35,Left_SomMotA_11
35,36,Left_SomMotA_12
36,37,Left_SomMotA_13
37,38,Left_SomMotA_14
38,39,Left_SomMotA_15
39,40,Left_SomMotA_16
40,41,Left_SomMotA_17
41,42,Left_SomMotA_18
42,43,Left_SomMotA_19
43,44,Left_SomMotB_Aud_1
44,45,Left_SomMotB_Aud_2
45,46,Left_SomMotB_Aud_3
46,47,Left_SomMotB_Aud_4
47,48,Left_SomMotB_Aud_5
48,49,Left_SomMotB_Aud_6
49,50,Left_SomMotB_Aud_7
50,51,Left_SomMotB_Aud_8
51,52,Left_SomMotB_Aud_9
52,53,Left_SomMotB_Aud_10
53,54,Left_SomMotB_Aud_11
54,55,Left_SomMotB_Aud_12
55,56,Left_SomMotB_Aud_13
56,57,Left_SomMotB_Aud_14
57,58,Left_SomMotB_Aud_15
58,59,Left_SomMotB_Aud_16
59,60,Left_DorsAttnA_TempOcc_1
60,61,Left_DorsAttnA_TempOcc_2
61,62,Left_DorsAttnA_TempOcc_3
62,63,Left_DorsAttnA_TempOcc_4
63,64,Left_DorsAttnA_ParOcc_1
64,65,Left_DorsAttnA_SPL_1
65,66,Left_DorsAttnA_SPL_2
66,67,Left_DorsAttnA_SPL_3
67,68,Left_DorsAttnA_SPL_4
68,69,Left_DorsAttnA_SPL_5
69,70,Left_DorsAttnA_SPL_6
70,71,Left_DorsAttnA_SPL_7
71,72,Left_DorsAttnA_SPL_8
72,73,Left_DorsAttnB_PostC_1
73,74,Left_DorsAttnB_PostC_2
74,75,Left_DorsAttnB_PostC_3
75,76,Left_DorsAttnB_PostC_4
76,77,Left_DorsAttnB_PostC_5
77,78,Left_DorsAttnB_PostC_6
78,79,Left_DorsAttnB_PostC_7
79,80,Left_DorsAttnB_PostC_8
80,81,Left_DorsAttnB_PostC_9
81,82,Left_DorsAttnB_FEF_1
82,83,Left_DorsAttnB_FEF_2
83,84,Left_DorsAttnB_FEF_3
84,85,Left_DorsAttnB_PrCv_1
85,86,Left_SalVentAttnA_ParOper_1
